row_id,participant_id,block_id,trial_index,winner_model_name,choice,correct_side,is_choice_correct,reaction_time_ms,H,prev_observed_belief_L,psi_t,abs_prev_belief_L,abs_psi_t,psi_shrinkage_abs,is_change_point
184,P02,1,38,cont_asymptote,-1,0,0,368,0.521,9.328974,-0.08403449867144985,9.328974,0.08403449867144985,9.24493950132855,1
185,P02,1,39,cont_asymptote,1,1,1,379,0.521,-4.645879,0.08244903113233618,4.645879,0.08244903113233618,4.563429968867664,1
186,P02,1,40,cont_asymptote,1,1,1,410,0.521,9.452979,-0.08403624156676948,9.452979,0.08403624156676948,9.36894275843323,0
217,P02,2,31,cont_asymptote,1,1,1,393,0.441,8.335254,0.23698979036347012,8.335254,0.23698979036347012,8.09826420963653,1
218,P02,2,32,cont_asymptote,1,1,1,473,0.441,7.900159,0.2369272315946267,7.900159,0.2369272315946267,7.663231768405374,0
219,P02,2,33,cont_asymptote,1,1,1,382,0.441,6.540469,0.23641452037588628,6.540469,0.23641452037588628,6.304054479624114,0
220,P02,2,34,cont_asymptote,1,1,1,428,0.431,9.349639,0.27772339391203005,9.349639,0.27772339391203005,9.07191560608797,0
221,P02,2,35,cont_asymptote,1,1,1,399,0.431,4.873507,0.27350343530780563,4.873507,0.27350343530780563,4.600003564692194,0
222,P02,2,36,cont_asymptote,1,1,1,495,0.431,15.898503,0.2777722739323707,15.898503,0.2777722739323707,15.62073072606763,0
223,P02,2,37,cont_asymptote,1,1,1,427,0.431,10.606835,0.277758419238344,10.606835,0.277758419238344,10.329076580761656,0
224,P02,2,38,cont_asymptote,1,1,1,425,0.431,6.813374,0.2771546359127752,6.813374,0.2771546359127752,6.536219364087224,0
225,P02,2,39,cont_asymptote,1,1,1,392,0.431,7.178452,0.2773434169717435,7.178452,0.2773434169717435,6.901108583028257,0
226,P02,2,40,cont_asymptote,1,1,1,368,0.431,12.200424,0.2777695145176118,12.200424,0.2777695145176118,11.922654485482388,0
257,P02,3,31,cont_asymptote,-1,0,0,542,0.281,10.605327,0.939452961951293,10.605327,0.939452961951293,9.665874038048708,1
258,P02,3,32,cont_asymptote,1,1,1,409,0.281,-6.72139,-0.9368993010749803,6.72139,0.9368993010749803,5.78449069892502,1
259,P02,3,33,cont_asymptote,1,1,1,472,0.281,9.055769,0.939253704041743,9.055769,0.939253704041743,8.116515295958257,0
260,P02,3,34,cont_asymptote,1,1,1,342,0.281,13.278698,0.9395029801071502,13.278698,0.9395029801071502,12.33919501989285,0
261,P02,3,35,cont_asymptote,1,1,1,413,0.281,7.86054,0.9386710799121225,7.86054,0.9386710799121225,6.921868920087878,0
262,P02,3,36,cont_asymptote,1,1,1,386,0.281,14.703122,0.939505795998965,14.703122,0.939505795998965,13.763616204001035,0
