row_id,participant_id,block_id,trial_index,split,winner_model_name,choice,correct_side,predicted_decision,predicted_choice_binary,predicted_timeout,choice_match_excluding_timeout,reaction_time_ms,predicted_rt_ms,belief_L,predicted_belief,H,LLR
83,P01,3,4,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,700.0,1418.9999999999545,-7.429462,-2.9830471567607826,0.271,-5.353956
84,P01,3,5,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,865.0,656.0000000000005,0.149804,1.1712370745922922,0.781,2.225703
85,P01,3,6,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,747.0,4436.999999999816,1.531655,1.25012995976079,0.441,1.415193
86,P01,3,7,TRAIN,cont_asymptote,-1,1,-1,0.0,0,0.0,622.0,4162.999999999725,0.814423,-0.24511251805366185,0.581,-0.287975
87,P01,3,8,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,610.0,4021.999999999678,2.028932,0.9970873956854496,0.601,1.409041
88,P01,3,9,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,610.0,3394.999999999737,3.340077,1.3241438288395546,0.561,1.962525
89,P01,3,10,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,549.0,3739.999999999699,3.558764,1.2926616683513992,0.511,1.723602
90,P01,3,11,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,558.0,1594.9999999999352,6.924859,2.297821762528259,0.511,5.046169
91,P01,3,12,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,431.0,4550.9999999998545,3.347965,1.1820191140533585,0.431,1.275118
92,P01,3,13,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,519.0,1683.9999999999254,6.47667,2.40552429633328,0.421,4.639804
93,P01,3,14,TRAIN,cont_asymptote,1,0,-1,0.0,0,0.0,491.0,4827.999999999947,-0.282398,-3.4972906147208045,0.071,-2.350907
94,P01,3,15,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,877.0,3709.9999999997026,-2.545752,-3.239603817763701,0.091,-2.326622
95,P01,3,16,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,414.0,4977.999999999997,-2.868626,-2.7502365341765227,0.081,-1.26568
96,P01,3,17,TRAIN,cont_asymptote,-1,1,1,1.0,0,0.0,462.0,2264.9999999998618,3.641143,4.649203079641978,0.051,5.353956
98,P01,3,19,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,850.0,3673.9999999997062,-1.103595,-3.795651778207372,0.071,-3.17042
99,P01,3,20,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,954.0,2148.9999999998745,4.091436,4.23357543440442,0.071,4.916102
100,P01,3,21,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1345.0,656.0000000000005,2.538444,2.283982466761445,0.071,0.581431
101,P01,3,22,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,714.0,1489.9999999999468,6.811967,4.291886266676645,0.071,5.211775
102,P01,3,23,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,611.0,2102.9999999998795,5.121625,3.7569052923277324,0.071,3.049696
103,P01,3,24,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,1012.0,2741.999999999809,-2.30669,-4.109421459053006,0.071,-4.341324
104,P01,3,25,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,685.0,656.0000000000005,-1.795237,-1.6842160416600418,0.071,-0.288776
105,P01,3,26,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,653.0,1542.9999999999409,-6.609094,-4.31877705647513,0.071,-5.353956
106,P01,3,27,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,610.0,2965.9999999997844,-4.035444,-3.318779184264346,0.071,-1.965447
107,P01,3,28,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,894.0,4515.999999999843,0.444201,3.268270270959183,0.091,2.394558
109,P01,3,30,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,656.0,1925.9999999998986,5.519439,3.6366532097507442,0.091,3.464969
110,P01,3,31,TEST,cont_asymptote,1,1,1,1.0,0,1.0,1165.0,4173.999999999729,3.104382,2.4552541102007193,0.091,1.054911
111,P01,3,32,TEST,cont_asymptote,-1,0,0,,1,,1824.0,5000.000000000005,0.054897,-2.6524184175180023,0.121,-1.724342
112,P01,3,33,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,790.0,1743.9999999999188,-5.31125,-3.786524802510543,0.121,-5.353956
113,P01,3,34,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,837.0,2982.9999999997826,-4.113967,-2.8408157320207454,0.121,-2.071553
114,P01,3,35,TEST,cont_asymptote,-1,1,-1,0.0,0,0.0,787.0,656.0000000000005,-2.250246,-1.6245891677333295,0.121,-0.290645
115,P01,3,36,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,732.0,1458.9999999999502,-6.835692,-3.786532924360141,0.121,-5.353956
116,P01,3,37,TEST,cont_asymptote,-1,1,-1,0.0,0,0.0,684.0,656.0000000000005,-2.326643,-1.7596497159708484,0.111,-0.254512
117,P01,3,38,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,700.0,2499.999999999836,-4.412986,-3.260434054175405,0.111,-2.897962
118,P01,3,39,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,701.0,1354.9999999999616,-7.343401,-3.872629649713873,0.111,-5.353956
119,P01,3,40,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,587.0,1335.9999999999636,-7.429437,-3.872630116681421,0.111,-5.353956
120,P01,4,1,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,783.0,3167.999999999762,4.13596,8.319160760287776,0.001,4.13596
121,P01,4,2,TRAIN,cont_asymptote,1,1,0,,1,,700.0,5000.000000000005,1.912347,7.155166378315665,0.001,1.318223
122,P01,4,3,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,775.0,2620.999999999822,4.733783,8.35425125124958,0.001,4.283771
123,P01,4,4,TRAIN,cont_asymptote,1,1,0,,1,,790.0,5000.000000000005,0.996169,5.637616145675202,0.001,0.392906
124,P01,4,5,TRAIN,cont_asymptote,1,1,0,,1,,685.0,5000.000000000005,1.191997,5.322639077108184,0.001,0.91573
125,P01,4,6,TRAIN,cont_asymptote,1,0,0,,1,,520.0,5000.000000000005,1.727227,6.928393667373149,0.001,1.406115
126,P01,4,7,TRAIN,cont_asymptote,-1,1,0,,1,,1854.0,5000.000000000005,1.226112,1.0214553090638316,0.331,0.803872
127,P01,4,8,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,835.0,1870.9999999999047,-4.329141,-2.6465202798901517,0.331,-4.657644
128,P01,4,9,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,581.0,1592.9999999999354,-5.406363,-2.6780978745728254,0.331,-4.80869
129,P01,4,10,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,848.0,1921.999999999899,-4.47678,-2.4631512034684846,0.331,-3.867973
130,P01,4,11,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,895.0,2738.9999999998095,2.454983,2.147173663229928,0.361,3.054955
131,P01,4,12,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,595.0,3762.9999999996967,2.256904,1.6944572048369178,0.331,1.744219
132,P01,4,13,TRAIN,cont_asymptote,1,0,1,1.0,0,1.0,654.0,2326.999999999855,3.665675,2.268724324524126,0.331,3.172887
133,P01,4,14,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,655.0,4030.9999999996808,2.125686,1.6690681615272673,0.301,1.543522
134,P01,4,15,TRAIN,cont_asymptote,1,1,0,,1,,656.0,5000.000000000005,1.251935,1.1501701143074055,0.271,0.774145
135,P01,4,16,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,529.0,1513.999999999944,5.687967,2.983039244957663,0.271,5.353956
136,P01,4,17,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,939.0,2943.9999999997867,-2.403205,-2.3443659831056523,0.291,-3.013439
137,P01,4,18,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,803.0,3310.9999999997463,2.05708,2.153893332303023,0.301,2.564866
138,P01,4,19,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,722.0,4744.999999999919,1.76469,1.5387064094706087,0.291,1.295361
139,P01,4,20,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,624.0,1612.9999999999332,5.307547,2.8201767754603275,0.291,4.879399
140,P01,4,21,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,566.0,1429.9999999999534,5.96216,2.912308381106623,0.291,5.353956
141,P01,4,22,TRAIN,cont_asymptote,1,0,1,1.0,0,1.0,1239.0,4617.999999999877,1.302222,1.0916818827698571,0.261,0.690933
142,P01,4,23,TRAIN,cont_asymptote,-1,0,0,,1,,1135.0,5000.000000000005,-0.895541,-1.4655090916553852,0.301,-1.24007
143,P01,4,24,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,668.0,2591.9999999998254,-3.20566,-2.2917346694680547,0.301,-2.953982
144,P01,4,25,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,895.0,2371.99999999985,3.185177,2.493834835016261,0.311,3.749239
145,P01,4,26,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,580.0,1842.999999999908,4.641347,2.5768342280200454,0.311,4.078283
146,P01,4,27,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,865.0,1874.9999999999043,-4.300028,-2.7588958497496554,0.311,-4.902201
147,P01,4,28,TRAIN,cont_asymptote,-1,1,0,,1,,1869.0,5000.000000000005,-0.000377,0.9137008822048605,0.261,0.596803
148,P01,4,29,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,893.0,1619.9999999999325,5.353844,3.0204201777437634,0.261,5.353956
149,P01,4,30,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,821.0,3012.999999999779,-2.355648,-2.3624957140419784,0.281,-2.964141
